eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/q1,loss/q2,loss/v,timestep
92.6,5.44426303552648,3.9028280002236264,0.28503313255129414,4.776442919969563,0.037509557715617065,0.03550484265200795,0.006279568475671123,1000
219.7,49.60050402969712,18.274549663975037,5.663063158494372,3.008566188573836,0.021122593462467237,0.020581973630003636,0.0031246287117246497,2000
433.6,136.04278738691002,44.60390373876974,15.881579002916599,1.5633973377943047,0.027541313407011304,0.02675232507102189,0.003980468031251801,3000
175.9,22.142493084564798,12.278044303813312,2.537398249527452,0.30293491419777335,0.029389975588768737,0.02820389377325773,0.004576329206582156,4000
386.4,156.16094262010586,37.40326503615666,18.811671982461007,-0.6764312954917544,0.030744577345438298,0.029866853511892277,0.005012794093927362,5000
429.7,204.87217966332082,43.801916520991206,24.099347630857444,-1.3237282904982568,0.03294193804077807,0.03219034610129896,0.005407468663062906,6000
615.4,146.21573102782065,65.34285386259184,19.316869423798643,-1.6405584028363223,0.03300837229937318,0.03263625246472666,0.005543609244748949,7000
867.9,166.26872826842697,90.67168305081547,17.24238270460877,-1.7655168249607083,0.036576310966163934,0.03574063326232128,0.00574194444692693,8000
320.6,46.06994682002574,28.563000317677744,5.4094689163915115,-1.8368595966696744,0.03374319365900006,0.03286268205940724,0.005613924191100512,9000
986.2,25.348767228407777,106.10964213121044,2.82909460770117,-1.8722652312517178,0.034355122448876514,0.033946622389368616,0.005630731273908163,10000
982.0,54.0,108.11482149363292,6.364172450331165,-1.9063412570953382,0.03441223304532469,0.033852368094027044,0.005771531158592554,11000
774.8,344.0092440618421,82.31293353219979,40.72677562166922,-1.9309395800232918,0.03481729627959429,0.03439367077127099,0.005901009740075097,12000
842.7,194.04692731398762,91.03927830211795,22.636665400046176,-1.9842609646320326,0.03242190507054328,0.032589729537256064,0.00567260033101775,13000
824.0,271.01475974566404,87.25923451364741,31.37243378634421,-1.9842113508582133,0.03506002078857278,0.03484695103764531,0.006011425353819502,14000
734.4,328.5782098679095,76.44383775776234,38.4484583945271,-2.0085166335105855,0.03243630450963979,0.03225607031770056,0.005727145730284965,15000
1000.0,0.0,106.04872588851867,0.6966592256781502,-2.0424089226722737,0.032513536484912064,0.03274492797348647,0.005782399572199221,16000
932.3,138.34597934164913,103.41344090100424,16.398117526428535,-2.042953129053116,0.03237680137529974,0.0326490313746036,0.0058725440185516935,17000
1000.0,0.0,109.95748993765221,0.927783206198556,-2.0733651571869802,0.0324196324767546,0.03267527515254914,0.005791458529187346,18000
