alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
7.843619660095002e+24,783.4,275.6262687045631,89.68842731217545,31.107566089610582,-368.72424084472624,-1177.8326949462894,-94.65079472351087,-94.57666579437259,573000
8.665443906865653e+24,845.3,311.00226687276734,94.06878595115022,35.694144989770315,-368.7179518737784,-1189.4271429443324,-95.38258471679698,-95.13807043457045,574000
9.574460552940633e+24,977.5,67.5,110.31060460247282,7.333587619231846,-368.6576687011724,-1186.9605725097658,-94.89810863113404,-94.68138531875599,575000
1.0587083987929816e+25,884.6,205.36659903694172,100.6048284463696,24.097766151146573,-368.7683234558101,-1198.3314782714845,-95.2727925109862,-95.38760551452637,576000
1.1701965433176252e+25,209.8,263.4007593003482,20.589943456799944,31.365024681035656,-368.6534409484864,-1207.0624548339856,-95.9727684097289,-95.87341634368909,577000
1.2924358654554658e+25,943.1,170.7,105.94097526747079,19.147742808285503,-368.74744366455076,-1189.6462077636716,-94.75097801208481,-94.67220020294175,578000
1.4287304303669527e+25,1000.0,0.0,111.89269205859445,1.1836423515174606,-368.5417565002445,-1218.7201463623026,-96.5740207595825,-96.21422309112553,579000
1.5801087656674133e+25,950.5,148.5,106.8281175516133,15.688936586979294,-368.6781965637206,-1222.2989573974621,-96.7694480209349,-96.3794174194339,580000
1.747647335373087e+25,903.1,148.84250065085575,102.65763807697807,16.24823686998737,-368.56262210082986,-1234.0035159912109,-96.95605052947992,-97.32465181732182,581000
1.93074644586454e+25,1000.0,0.0,112.49325801129322,1.5562892291026242,-368.7316244201663,-1220.6168233642563,-95.69302432250969,-95.51814534759531,582000
2.131437698286754e+25,779.7,296.7642330200862,88.4929907668318,34.1963802936042,-368.61757022094787,-1208.382558471681,-94.98252303314226,-95.13469750213625,583000
