alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
9.203879149200879e+30,1000.0,0.0,109.05864134635182,0.31841292143517597,-496.63896618652376,-1364.3837325439474,-116.03028299713138,-116.2591248931886,714000
1.016446350156811e+31,1000.0,0.0,107.93065318129777,0.3139990112592957,-496.56247784423806,-1353.6853481445337,-115.39865718078597,-115.46318947601313,715000
1.1223972081919214e+31,1000.0,0.0,105.62429861359558,0.5044361463517647,-496.6897293395983,-1349.0292211914054,-114.86533116912824,-114.89500992584229,716000
1.2396474478955066e+31,1000.0,0.0,107.9476714262125,0.1655758264368942,-496.59651364135675,-1354.7630844726561,-115.30228218841562,-115.47573751831035,717000
1.3686047880231574e+31,1000.0,0.0,108.9660536496462,0.2775894743275389,-496.75207791137694,-1345.783891357423,-114.31801839447047,-114.32169157409665,718000
1.512551955658643e+31,1000.0,0.0,110.0386374026951,0.2327294886780699,-496.5709707946779,-1369.80902429199,-115.91053234863273,-116.04327182769802,719000
1.6723883682795093e+31,1000.0,0.0,106.63593140688808,0.4518835868545566,-496.56488998413096,-1373.590449218751,-115.97441923522922,-116.10654726409919,720000
1.846377950863898e+31,1000.0,0.0,109.67314145084434,0.12251965209740823,-496.4560267028808,-1358.9580531005838,-115.06168861389159,-115.17363493347173,721000
2.039271287794918e+31,1000.0,0.0,107.3548659751887,0.6782628106740283,-496.5583262939447,-1367.0984882812468,-115.29635115814202,-115.31040726470964,722000
2.253868726257749e+31,1000.0,0.0,108.53042879021011,0.27844386415846,-496.47207174682575,-1370.1884028320324,-115.37098966979978,-115.25173759460434,723000
2.4933300504160265e+31,1000.0,0.0,109.15832012063854,0.3451474365202741,-496.47635751342784,-1391.3291035156249,-116.613037033081,-116.73410183715815,724000
2.755853350774543e+31,1000.0,0.0,107.85561324912523,0.42518089102870255,-496.41992877197225,-1379.0077740478482,-115.78185012054449,-115.78390924072282,725000
3.0439365538666897e+31,1000.0,0.0,110.24725122193514,0.2647250378280184,-496.44922463989224,-1367.861389770507,-114.94226865386979,-115.07998658752436,726000
3.3631845088990887e+31,1000.0,0.0,106.57712131345869,0.6471415856734791,-496.392998504639,-1377.874641113283,-115.29264175415013,-115.38322331237795,727000
3.7198024084525383e+31,1000.0,0.0,108.52369443837722,0.13365598074445487,-496.4639626770023,-1407.0694770507826,-117.24462107086188,-117.40497382354732,728000
4.111979060174067e+31,1000.0,0.0,108.69443520702504,0.2724539825130713,-496.4751764831544,-1392.4525404052702,-116.20261074066171,-116.28090879058813,729000
4.544561916650368e+31,1000.0,0.0,107.76768250653616,0.2653966206695025,-496.4012503051762,-1399.8418824462863,-116.621245864868,-116.54171456909172,730000
5.0203111404932525e+31,1000.0,0.0,108.97830054039738,0.21869438572708322,-496.33802288818345,-1392.9691281738283,-116.01774923706053,-115.93702975463856,731000
5.543473302943291e+31,1000.0,0.0,108.4473008289032,0.2559604535511401,-496.2621298522955,-1374.2290592041024,-114.76665293121332,-114.65987597656263,732000
6.123337149751317e+31,1000.0,0.0,109.31108463724858,0.1774074091727401,-496.26647198486324,-1386.2304389648416,-115.25735485839874,-115.34574169921872,733000
